feature,age_slope,age_corr,volume_corr,outcome_corr,univar_auc,p_MW_corr
T1w_WM_firstorder_Maximum,-0.014172086400355133,-0.12530999286192826,0.07537462216219694,0.4290447086456725,0.724537037037037,0.4321576270498995
T1w_WM_firstorder_MeanAbsoluteDeviation,-0.0012657322435689474,-0.07957442121229591,0.025403562930091973,0.5961181933207785,0.8140432098765432,0.0007381619411738743
T1w_WM_firstorder_Mean,0.0013679658209488283,0.2858593966147559,-0.19612193710206446,-0.02138540603841358,0.5173611111111112,1.0
T1w_WM_firstorder_Median,0.0015339606145768812,0.379600415170127,-0.15943147469290633,0.2699907512349715,0.6593364197530864,1.0
T1w_WM_firstorder_Minimum,-0.009182901058515321,-0.22180383885555596,-0.08135571419383884,-0.47849846010950386,0.7758487654320988,0.07984657325546701
T1w_WM_firstorder_Range,-0.004989185341051781,0.09869932762544735,0.08807640362724291,0.5586937327535547,0.7924382716049383,0.003629837945702579
T1w_WM_firstorder_RobustMeanAbsoluteDeviation,-0.0009529892189602865,-0.11914430333647626,0.005145025403562931,0.548001029734348,0.7858796296296295,0.005621773947021045
T1w_WM_firstorder_RootMeanSquared,0.0007694082095087914,0.26654130932874437,-0.12422020708727252,0.38226413293664285,0.693287037037037,1.0
T1w_WM_firstorder_Skewness,-0.01273238310573692,-0.2658007826494473,-0.10055309023088302,-0.530625387328137,0.8059413580246914,0.011255483348004924
T1w_WM_firstorder_TotalEnergy,468.4364500166314,0.2867126121365548,0.6061804617660301,0.4170154177490648,0.7145061728395061,0.6356622898586153
T1w_WM_firstorder_Uniformity,0.00041865955916261995,0.2414277958569294,0.1325808733680623,0.01202929089660764,0.4787808641975309,1.0
T1w_WM_firstorder_Variance,-0.0008726312638586833,-0.02451787244716299,0.02749372950028941,0.6268597145009981,0.8302469135802469,0.00018564813057195013
T1w_WM_glcm_Autocorrelation,9.395639029820547,0.2725138179813363,0.012155122515917424,0.09356115141805943,0.5543981481481481,1.0
T1w_WM_glcm_ClusterProminence,-82.67736711544944,-0.04388425495138957,0.020033442665123163,0.5226058600637319,0.8005401234567902,0.015399127336087079
T1w_WM_glcm_ClusterShade,-2.1586814510538224,-0.18637124709179645,-0.07518168370956334,-0.7043818113902474,0.9039351851851852,4.278877368718327e-06
T1w_WM_glcm_ClusterTendency,-0.3972223908585151,-0.14886196094479068,-0.1159238536240273,0.2405858179321528,0.6396604938271605,1.0
T1w_WM_glcm_Contrast,-0.09306256955769923,-0.26151860663438137,-0.14705125731558302,0.07885868476665009,0.5447530864197531,1.0
T1w_WM_glcm_Correlation,-0.000511615029986853,0.0615925016302335,0.0951186571483697,0.2766736906219757,0.6331018518518519,1.0
T1w_WM_glcm_DifferenceAverage,-0.01223459829612784,-0.263675793047986,-0.12952601453469678,0.07885868476665009,0.5474537037037037,1.0
T1w_WM_glcm_DifferenceEntropy,-0.005980005071758684,-0.26827993718448545,-0.12852916586275648,0.09088797566325774,0.5536265432098766,1.0
T1w_WM_glcm_DifferenceVariance,-0.02993145040958658,-0.2526000896706727,-0.16062126181748024,0.04544398783162887,0.5246913580246914,1.0
T1w_WM_glcm_Id,0.001112046938874929,0.2705820092527351,0.11891439963984825,-0.0601464544830382,0.5339506172839507,1.0
T1w_WM_glcm_Idm,0.0013293635035027285,0.27620035297175016,0.12013634317319445,-0.0548001029734348,0.5297067901234568,1.0
T1w_WM_glcm_Idmn,3.6648791151313094e-05,0.2645129101637132,0.14174544986815873,-0.08153186052145177,0.5443672839506173,1.0
T1w_WM_glcm_Idn,0.0002121382651942691,0.26811895312376866,0.1292044504469741,-0.07885868476665009,0.5432098765432098,1.0
T1w_WM_glcm_Imc1,-0.00013718987719208456,-0.19028315976721377,-0.11582738439771048,-0.0574732787282365,0.5289351851851852,1.0
T1w_WM_glcm_Imc2,1.1044147457514735e-05,0.10085651403905198,0.10367226188179306,0.04009763632202547,0.49189814814814814,1.0
T1w_WM_glcm_InverseVariance,0.0011835436105394044,0.2703244347555883,0.12000771753810535,-0.06682939387004246,0.5389660493827161,1.0
T1w_WM_glcm_JointAverage,0.16533692635096883,0.26914925111235594,0.013473535275580427,0.08821479990845603,0.5524691358024691,1.0
T1w_WM_glcm_JointEnergy,0.00010262635605033292,0.2532440259135397,0.11486269213454242,-0.006682939387004245,0.47106481481481477,1.0
T1w_WM_glcm_JointEntropy,-0.014332309360967981,-0.241443894263001,-0.11891439963984825,0.07351233325704669,0.5416666666666667,1.0
T1w_WM_glcm_MCC,0.00016249045773952003,0.12743498246338955,0.13476750916457653,0.4664691692128963,0.7407407407407407,0.1222489434780443
T1w_WM_glcm_MaximumProbability,0.00023284539616413985,0.25712374177681374,0.1097176667309795,0.03207810905762037,0.48996913580246915,1.0
T1w_WM_glcm_SumAverage,0.33067385283984635,0.26914925111235594,0.013473535275580427,0.08821479990845603,0.5524691358024691,1.0
T1w_WM_glcm_SumEntropy,-0.007222141348062376,-0.2146561465597317,-0.13013698630136988,0.09356115141805943,0.5536265432098766,1.0
